DATE,EF,AvgTemp
1950-12-31,5750637,
1951-12-31,5909819,2.77
1952-12-31,6073833,2.78
1953-12-31,6243883,2.8
1954-12-31,6419882,2.82
1955-12-31,6601785,2.83
1956-12-31,6790145,2.85
1957-12-31,6985793,2.88
1958-12-31,7189279,2.91
1959-12-31,7401282,2.95
1960-12-31,7617746,2.92
1961-12-31,7838440,2.9
1962-12-31,8068828,2.94
1963-12-31,8311013,3
1964-12-31,8564755,3.05
1965-12-31,8829056,3.09
1966-12-31,9104743,3.12
1967-12-31,9393432,3.17
1968-12-31,9696370,3.22
1969-12-31,10006526,3.2
1970-12-31,10317212,3.1
1971-12-31,10616338,2.9
1972-12-31,10885563,2.54
1973-12-31,11146099,2.39
1974-12-31,11428676,2.54
1975-12-31,11730959,2.64
1976-12-31,12045227,2.68
1977-12-31,12369253,2.69
1978-12-31,12701999,2.69
1979-12-31,13011511,2.44
1980-12-31,13284026,2.09
1981-12-31,13563558,2.1
1982-12-31,13880052,2.33
1983-12-31,14228932,2.51
1984-12-31,14617944,2.73
1985-12-31,15038915,2.88
1986-12-31,15486807,2.98
1987-12-31,15974216,3.15
1988-12-31,16489323,3.22
1989-12-31,17028543,3.27
1990-12-31,17586630,3.28
1991-12-31,18171935,3.33
1992-12-31,18801966,3.47
1993-12-31,19462958,3.52
1994-12-31,20125021,3.4
1995-12-31,20680831,2.76
1996-12-31,21249572,2.75
1997-12-31,21876935,2.95
1998-12-31,22537658,3.02
1999-12-31,23279247,3.29
2000-12-31,24020697,3.19
2001-12-31,24763325,3.09
2002-12-31,25545090,3.16
2003-12-31,26354736,3.17
2004-12-31,27146084,3
2005-12-31,27946588,2.95
2006-12-31,28773227,2.96
2007-12-31,29629804,2.98
2008-12-31,30509862,2.97
2009-12-31,31412520,2.96
2010-12-31,32341728,2.96
2011-12-31,33295738,2.95
2012-12-31,34273295,2.94
2013-12-31,35273570,2.92
2014-12-31,36336539,3.01
2015-12-31,37477356,3.14
2016-12-31,38748299,3.39
2017-12-31,40127085,3.56
2018-12-31,41515395,3.46
2019-12-31,42949080,3.45
2020-12-31,44404611,3.39
2021-12-31,45853778,3.26
2022-12-31,47249585,3.04
2023-12-31,48582334,2.82
2024-12-31,49924252,2.76
2025-12-31,51284671,2.72
2026-12-31,52667779,2.7
2027-12-31,54074276,2.67
2028-12-31,55500544,2.64
2029-12-31,56937558,2.59
2030-12-31,58380262,2.53
2031-12-31,59824141,2.47
2032-12-31,61273497,2.42
2033-12-31,62728594,2.37
2034-12-31,64184560,2.32
2035-12-31,65647934,2.28
2036-12-31,67116524,2.24
2037-12-31,68590124,2.2
2038-12-31,70067152,2.15
2039-12-31,71541113,2.1
2040-12-31,73014668,2.06
2041-12-31,74486455,2.02
2042-12-31,75954183,1.97
2043-12-31,77419738,1.93
2044-12-31,78886699,1.89
2045-12-31,80354860,1.86
2046-12-31,81821514,1.83
2047-12-31,83284173,1.79
2048-12-31,84738864,1.75
2049-12-31,86185454,1.71
2050-12-31,87622081,1.67
2051-12-31,89044958,1.62
2052-12-31,90458711,1.59
2053-12-31,91858849,1.55
2054-12-31,93240236,1.5
2055-12-31,94607019,1.47
2056-12-31,95957409,1.43
2057-12-31,97296822,1.4
2058-12-31,98622660,1.36
2059-12-31,99929485,1.33
2060-12-31,101213368,1.28
2061-12-31,102474068,1.25
2062-12-31,103714747,1.21
2063-12-31,104930417,1.17
2064-12-31,106122595,1.14
2065-12-31,107288313,1.1
2066-12-31,108427378,1.06
2067-12-31,109541905,1.03
2068-12-31,110632094,1
2069-12-31,111701505,0.97
2070-12-31,112745027,0.93
2071-12-31,113758738,0.9
2072-12-31,114741471,0.86
2073-12-31,115695058,0.83
2074-12-31,116620277,0.8
2075-12-31,117521857,0.77
2076-12-31,118403658,0.75
2077-12-31,119258530,0.72
2078-12-31,120087533,0.7
31.12.2079,120898680,0.68
31.12.2080,121688132,0.65
31.12.2081,122451912,0.63
31.12.2082,123192299,0.6
31.12.2083,123905530,0.58
31.12.2084,124595543,0.56
31.12.2085,125263826,0.54
31.12.2086,125903313,0.51
31.12.2087,126513818,0.48
31.12.2088,127099094,0.46
31.12.2089,127656582,0.44
31.12.2090,128187155,0.42
31.12.2091,128695068,0.4
31.12.2092,129179467,0.38
31.12.2093,129633311,0.35
31.12.2094,130060769,0.33
31.12.2095,130469742,0.31
31.12.2096,130851504,0.29
31.12.2097,131203123,0.27
31.12.2098,131531247,0.25
31.12.2099,131839636,0.23
31.12.2100,132127044,0.22
